movie_id,title,revenue,vote_average,vote_count,watch_providers,genres,budget,runtime,original_language,adult,shooting_format,release_year,number_screens_release,overview,movie_script,script_writer,distributors,director,producers,main_cast
298382,The Dressmaker,25003426,7.003,1678,,"Drama, Comedy, Western",11930000,118,en,False,,2015,,"In 1950s Australia, beautiful, talented dressmaker Tilly returns to her tiny hometown to right wrongs from her past. As she tries to reconcile with her mother, she starts to fall in love while transforming the fashion of the town.",,,"White Hot Productions, Screen Australia, Film Art Media, Embankment Films, Ingenious Media, Universal Pictures",Jocelyn Moorhouse,Sue Maslin,"Kate Winslet, Liam Hemsworth, Caroline Goodall"
271718,Trainwreck,140795793,5.806,2612,Now TV Cinema,"Comedy, Romance",35000000,125,en,False,,2015,,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",,,Apatow Productions,Judd Apatow,"Judd Apatow, Barry Mendel","Amy Schumer, Bill Hader, Brie Larson"
326425,Extraction,16775,4.557,384,"Amazon Prime Video, Icon Film Amazon Channel, Amazon Prime Video with Ads","Action, Thriller",0,82,en,False,,2015,,"When a former CIA operative is kidnapped by a group of terrorists, his son learns there is no plan for his father to be saved—so he launches his own rescue operation.",,,"EFO Films, Aperture Entertainment, Twirly Films Limited, Ingenious Media, The Fyzz",Steven C. Miller,"Adam Goldworm, Randall Emmett, Mark Stewart, George Furla","Bruce Willis, Gina Carano, Kellan Lutz"
325358,Superfast!,0,5.062,463,,"Comedy, Action",20000000,99,en,False,,2015,,"Undercover cop Lucas White joins Vin Serento's gang of illegal street racers. They are fast and they are furious and they plan to double cross Los Angeles kingpin Juan Carlos de la Sol, who hides his cash in a downtown Taco Bell.",,,"The Safran Company, 3 in the Box","Jason Friedberg, Aaron Seltzer","Aaron Seltzer, Peter Safran, Jason Friedberg","Alex Ashbaugh, Dale Pavinski, Andrea Navedo"
150540,Inside Out,857611174,7.911,22481,Disney Plus,"Animation, Family, Adventure, Drama, Comedy",175000000,95,en,False,,2015,,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",,,"Pixar, Walt Disney Pictures",Pete Docter,Jonas Rivera,"Amy Poehler, Phyllis Smith, Richard Kind"
216015,Fifty Shades of Grey,569651467,5.887,11972,"Netflix, Netflix Standard with Ads","Drama, Romance, Thriller",40000000,125,en,False,,2015,,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",,,"Universal Pictures, Focus Features, Michael De Luca Productions, Trigger Street Productions",Sam Taylor-Johnson,"Michael De Luca, E.L. James, Dana Brunetti","Dakota Johnson, Jamie Dornan, Jennifer Ehle"
140607,Star Wars: The Force Awakens,2068223624,7.261,19726,Disney Plus,"Adventure, Action, Science Fiction",245000000,136,en,False,,2015,,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",,,"Lucasfilm Ltd., Bad Robot",J.J. Abrams,"J.J. Abrams, Bryan Burk, Kathleen Kennedy","Harrison Ford, Mark Hamill, Carrie Fisher"
99861,Avengers: Age of Ultron,1405403694,7.3,23413,Disney Plus,"Action, Adventure, Science Fiction",365000000,141,en,False,,2015,,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",,,Marvel Studios,Joss Whedon,Kevin Feige,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
76341,Mad Max: Fury Road,378858340,7.622,23071,"Sky Go, Now TV Cinema, Netflix Standard with Ads","Action, Adventure, Science Fiction",150000000,121,en,False,,2015,,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",,,"Warner Bros. Pictures, Village Roadshow Pictures, Kennedy Miller Mitchell, RatPac Entertainment",George Miller,"Doug Mitchell, George Miller, P.J. Voeten","Tom Hardy, Charlize Theron, Nicholas Hoult"
150689,Cinderella,543514353,6.825,7156,Disney Plus,"Romance, Fantasy, Family, Drama",95000000,105,en,False,,2015,,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",,,"Walt Disney Pictures, Genre Films, Beagle Pug Films, Allison Shearmur Productions",Kenneth Branagh,"Simon Kinberg, Allison Shearmur, David Barron","Lily James, Cate Blanchett, Richard Madden"
