movie_id,person_name,role,debut_year,years_active,last_five_films,last_five_ids
298382,Jocelyn Moorhouse,Director,1983,42,The Fabulous Four (2024) as Writer; The Fabulous Four (2024) as Director; The Show Must Go On (2019) as Actor; Making Muriel (2017) as Actor; Jill Bilcock: The Art of Film Editing (2017) as Actor,974613; 974613; 641177; 499397; 447760
298382,Sue Maslin,Producer,1988,37,Jimpa (2025) as Executive Producer; The Search for the Palace Letters (2024) as Producer; Ablaze (2022) as Executive Producer; Anonymous Club (2022) as Executive Producer; Brazen Hussies (2020) as Executive Producer,1286491; 1230488; 701261; 842226; 745265
298382,Kate Winslet,Actor,1994,31,Avatar: Fire and Ash (2025) as Actor; Naya: Legend of the Golden Dolphin (2025) as Actor; DreamScapes (2025) as Actor; Lee (2024) as Actor; Lee (2024) as Producer,83533; 826287; 1188371; 832964; 832964
298382,Liam Hemsworth,Actor,2009,16,Lonely Planet (2024) as Actor; Land of Bad (2024) as Actor; Poker Face (2022) as Actor; Arkansas (2020) as Actor; Killerman (2019) as Actor,959429; 969492; 842934; 560204; 492449
298382,Caroline Goodall,Actor,1982,43,Sew Torn (2024) as Actor; Survive (2022) as Actor; Birds of Paradise (2021) as Actor; Birds of Paradise (2021) as Actor; Hitman's Wife's Bodyguard (2021) as Actor,1046758; 1132079; 667969; 667969; 522931
271718,Judd Apatow,Director,1991,34,Ramy Youssef: More Feelings (2024) as Thanks; Hendrie (2024) as Actor; Stormy (2024) as Executive Producer; Dick Van Dyke: 98 Years of Magic (2023) as Actor; Bob and Don: A Love Story (2023) as Director,1235761; 1249572; 1240928; 1221140; 1211445
271718,Judd Apatow,Producer,1991,34,Ramy Youssef: More Feelings (2024) as Thanks; Hendrie (2024) as Actor; Stormy (2024) as Executive Producer; Dick Van Dyke: 98 Years of Magic (2023) as Actor; Bob and Don: A Love Story (2023) as Director,1235761; 1249572; 1240928; 1221140; 1211445
271718,Barry Mendel,Producer,1998,27,"The Bubble (2022) as Executive Producer; The King of Staten Island (2020) as Producer; Juliet, Naked (2018) as Producer; The Big Sick (2017) as Producer; Trainwreck (2015) as Producer",765119; 579583; 458344; 416477; 271718
271718,Amy Schumer,Actor,2003,22,Kinda Pregnant (2025) as Actor; Kinda Pregnant (2025) as Producer; Kinda Pregnant (2025) as Screenplay; IF (2024) as Actor; Unfrosted (2024) as Actor,1212142; 1212142; 1212142; 639720; 844185
271718,Bill Hader,Actor,2000,25,The Cat in the Hat (2026) as Actor; Ladies & Gentlemen... 50 Years of SNL Music (2025) as Actor; IF (2024) as Actor; Hendrie (2024) as Actor; Carol Burnett: 90 Years of Laughter + Love (2023) as Actor,1117898; 1421461; 639720; 1249572; 1111889
271718,Brie Larson,Actor,2003,22,Marvel Studios Assembled: The Making of The Marvels (2024) as Actor; The Marvels (2023) as Actor; Fast X (2023) as Actor; Remembering (2022) as Actor; Remembering (2022) as Producer,1235525; 609681; 385687; 1015628; 1015628
326425,Steven C. Miller,Director,2004,21,Werewolves (2024) as Director; Margaux (2022) as Director; Dolphin Island (2021) as Editor; Line of Duty (2019) as Director; Escape Plan 2: Hades (2018) as Director,970450; 846778; 800993; 346709; 440471
326425,Adam Goldworm,Producer,2000,25,Dead Mail (2024) as Executive Producer; Monstrous (2022) as Executive Producer; Best Sellers (2021) as Executive Producer; Line of Duty (2019) as Executive Producer; Satanic Panic (2019) as Producer,1229915; 811656; 669659; 346709; 539364
326425,Randall Emmett,Producer,1995,30,High Rollers (2025) as Producer; High Rollers (2025) as Director; Alarum (2025) as Producer; Armor (2024) as Producer; Gunner (2024) as Producer,1149167; 1149167; 1249289; 1182387; 5492
326425,Mark Stewart,Producer,2008,17,Wire Room (2022) as Producer; Wrong Place (2022) as Producer; Hot Seat (2022) as Producer; Hot Seat (2022) as Executive Producer; Fortress (2021) as Executive Producer,921360; 921353; 888195; 888195; 826749
326425,George Furla,Producer,1994,31,"The Randall Scandal: Love, Loathing, and Vanderpump (2023) as Actor; Savage Salvation (2022) as Producer; Wrong Place (2022) as Producer; Hot Seat (2022) as Producer; Fortress: Sniper's Eye (2022) as Producer",1127399; 740952; 921353; 888195; 883502
326425,Bruce Willis,Actor,1980,45,"Sly (2023) as Actor; The Randall Scandal: Love, Loathing, and Vanderpump (2023) as Actor; Assassin (2023) as Actor; Detective Knight: Independence (2023) as Actor; Detective Knight: Redemption (2022) as Actor",1146302; 1127399; 921355; 1035806; 1035803
326425,Gina Carano,Actor,2005,20,Terror on the Prairie (2022) as Actor; Terror on the Prairie (2022) as Producer; My Son Hunter (2022) as Actor; Madness in the Method (2019) as Actor; Daughter of the Wolf (2019) as Actor,884315; 884315; 900159; 432152; 525657
326425,Kellan Lutz,Actor,2006,19,Desert Dawn (2025) as Actor; Due Justice (2023) as Actor; Come Out Fighting (2023) as Actor; What Remains (2022) as Actor; Famous Adjacent (2020) as Actor,1180906; 982940; 1047925; 1012344; 878379
325358,Jason Friedberg,Director,1996,29,Superfast! (2015) as Director; Superfast! (2015) as Writer; Superfast! (2015) as Producer; Best Night Ever (2014) as Director; Best Night Ever (2014) as Screenplay,325358; 325358; 325358; 238475; 238475
325358,Aaron Seltzer,Director,1996,29,Superfast! (2015) as Director; Superfast! (2015) as Writer; Superfast! (2015) as Producer; Best Night Ever (2014) as Director; Best Night Ever (2014) as Screenplay,325358; 325358; 325358; 238475; 238475
325358,Aaron Seltzer,Producer,1996,29,Superfast! (2015) as Director; Superfast! (2015) as Writer; Superfast! (2015) as Producer; Best Night Ever (2014) as Director; Best Night Ever (2014) as Screenplay,325358; 325358; 325358; 238475; 238475
325358,Peter Safran,Producer,1997,28,Dynamic Duo (2028) as Producer; Untitled The Batman Sequel (2027) as Executive Producer; Clayface (2026) as Producer; Supergirl: Woman of Tomorrow (2026) as Producer; The Conjuring: Last Rites (2025) as Producer,1364797; 806704; 1400940; 1081003; 1038392
325358,Jason Friedberg,Producer,1996,29,Superfast! (2015) as Director; Superfast! (2015) as Writer; Superfast! (2015) as Producer; Best Night Ever (2014) as Director; Best Night Ever (2014) as Screenplay,325358; 325358; 325358; 238475; 238475
325358,Alex Ashbaugh,Actor,2013,12,Hickey (2017) as Actor; The Last Bid (2016) as Actor; Milwaukee (2015) as Actor; Milwaukee (2015) as Executive Producer; Milwaukee (2015) as Writer,434234; 394511; 306493; 306493; 306493
325358,Dale Pavinski,Actor,2009,16,21 Bridges (2019) as Actor; Superfast! (2015) as Actor; Angels & Demons (2009) as Actor,535292; 325358; 13448
325358,Andrea Navedo,Actor,1996,29,Girl Haunts Boy (2024) as Actor; Miguel Wants to Fight (2023) as Actor; Spider-Man: Across the Spider-Verse (2023) as Actor; The Royal (2022) as Actor; Smile or Hug (2022) as Actor,1217345; 1082425; 569094; 986630; 982821
150540,Pete Docter,Director,1988,37,"Toy Story 5 (2026) as Executive Producer; Hoppers (2026) as Executive Producer; Elio (2025) as Executive Producer; Meet the Pickles: The Making of ""Win or Lose"" (2025) as Actor; The Untold Story of Mary Poppins: A Special Edition of 20/20 (2024) as Actor",1084244; 1327819; 1022787; 1447091; 1394473
150540,Jonas Rivera,Producer,1995,30,Inside Out 2 (2024) as Executive Producer; Pete (2022) as Thanks; Lamp Life (2020) as Executive Producer; Toy Story 4 (2019) as Producer; Riley's First Date? (2015) as Executive Producer,1022789; 967244; 594530; 301528; 355338
150540,Amy Poehler,Actor,1996,29,"SNL50: The Homecoming Concert (2025) as Actor; Inside Out 2 (2024) as Actor; I'm ""George Lucas"": A Connor Ratliff Story (2024) as Actor; First Time Female Director (2023) as Actor; First Time Female Director (2023) as Producer",1433330; 1022789; 1100732; 999887; 999887
150540,Phyllis Smith,Actor,2006,19,Inside Out 2 (2024) as Actor; Barb & Star Go to Vista Del Mar (2021) as Actor; Mind Candy (2015) as Actor; Riley's First Date? (2015) as Actor; Inside Out (2015) as Actor,1022789; 595813; 370082; 355338; 150540
150540,Richard Kind,Actor,1984,41,The Auction (2025) as Actor; Maclunkey Treasure Island (2025) as Actor; Portal to Hell (2025) as Actor; Wolfs (2024) as Actor; Night Session (2024) as Actor,1305810; 1452724; 1405742; 877817; 1364272
216015,Sam Taylor-Johnson,Director,1994,31,Back to Black (2024) as Director; Back to Black (2024) as Executive Producer; A Million Little Pieces (2019) as Screenplay; A Million Little Pieces (2019) as Director; A Million Little Pieces (2019) as Producer,998846; 998846; 499566; 499566; 499566
216015,Michael De Luca,Producer,1987,38,The Fire Inside (2024) as Producer; Ricky Stanicky (2024) as Producer; Licorice Pizza (2021) as Thanks; The Rescue (2021) as Executive Producer; Reminiscence (2021) as Producer,610219; 1022690; 718032; 680058; 579047
216015,E.L. James,Producer,2006,19,Fifty Shades Freed (2018) as Novel; Fifty Shades Freed (2018) as Producer; Fifty Shades Darker (2017) as Novel; Fifty Shades Darker (2017) as Producer; Fifty Shades of Black (2016) as Novel,337167; 337167; 341174; 341174; 351819
216015,Dana Brunetti,Producer,1999,26,Gran Turismo (2023) as Producer; The Rescue (2021) as Producer; Fifty Shades Freed (2018) as Producer; Fifty Shades Darker (2017) as Producer; Masterminds (2016) as Executive Producer,980489; 680058; 337167; 341174; 213681
216015,Dakota Johnson,Actor,1999,26,Verity (2026) as Actor; Verity (2026) as Executive Producer; Splitsville (2025) as Actor; Splitsville (2025) as Producer; Materialists (2025) as Actor,1283515; 1283515; 1337562; 1337562; 1136867
216015,Jamie Dornan,Actor,2006,19,A Haunting in Venice (2023) as Actor; Heart of Stone (2023) as Actor; Belfast (2021) as Actor; Barb & Star Go to Vista Del Mar (2021) as Actor; Wild Mountain Thyme (2020) as Actor,945729; 724209; 777270; 595813; 628333
216015,Jennifer Ehle,Actor,1993,32,"Our Hero, Balthazar (2025) as Actor; East of Wall (2025) as Actor; She Said (2022) as Actor; John and the Hole (2021) as Actor; Monster (2021) as Actor",1465557; 1398911; 837881; 682532; 489932
140607,J.J. Abrams,Director,1982,43,"Oh, the Places You'll Go! (2028) as Producer; Flowervale Street (2026) as Producer; Music by John Williams (2024) as Actor; Elizabeth Taylor: The Lost Tapes (2024) as Producer; The Blue Angels (2024) as Producer",748865; 1101383; 1076708; 1279112; 1120821
140607,J.J. Abrams,Producer,1982,43,"Oh, the Places You'll Go! (2028) as Producer; Flowervale Street (2026) as Producer; Music by John Williams (2024) as Actor; Elizabeth Taylor: The Lost Tapes (2024) as Producer; The Blue Angels (2024) as Producer",748865; 1101383; 1076708; 1279112; 1120821
140607,Bryan Burk,Producer,1991,34,Werewolf by Night (2022) as Thanks; Mission: Impossible - Fallout (2018) as Producer; Jane (2017) as Producer; Star Trek Beyond (2016) as Producer; John Williams: The Seventh Symphony (2016) as Actor,894205; 353081; 470819; 188927; 570917
140607,Kathleen Kennedy,Producer,1982,43,Star Wars: Starfighter (2027) as Producer; The Mandalorian & Grogu (2026) as Producer; Music by John Williams (2024) as Actor; Music by John Williams (2024) as Producer; Timeless Heroes: Indiana Jones & Harrison Ford (2023) as Actor,1417668; 1228710; 1076708; 1076708; 1199447
140607,Harrison Ford,Actor,1966,59,Captain America: Brave New World (2025) as Actor; Disney Legends Awards Ceremony (2024) as Actor; Saving Sakic (2024) as Actor; Timeless Heroes: Indiana Jones & Harrison Ford (2023) as Actor; The Making of Indiana Jones and the Dial of Destiny (2023) as Actor,822119; 1329282; 1275302; 1199447; 1168918
140607,Mark Hamill,Actor,1973,52,The SpongeBob Movie: Search for SquarePants (2025) as Actor; The Long Walk (2025) as Actor; The Life of Chuck (2025) as Actor; The King of Kings (2025) as Actor; The Wild Robot (2024) as Actor,991494; 604079; 842924; 1181107; 1184918
140607,Carrie Fisher,Actor,1969,56,The Tonight Show Starring Jimmy Fallon: 10th Anniversary Special (2024) as Actor; Wonderwell (2023) as Actor; A Disturbance in the Force: How the Star Wars Holiday Special Happened (2023) as Actor; Obi-Wan Kenobi: A Jedi's Return (2022) as Actor; Belushi (2020) as Actor,1296327; 456483; 765673; 1015606; 661845
99861,Joss Whedon,Director,1992,33,A Place Among the Dead (2020) as Actor; Justice League (2017) as Screenplay; UNLOCKED (2017) as Director; UNLOCKED (2017) as Writer; Lurk (2017) as Characters,760688; 141052; 458153; 458153; 1299014
99861,Kevin Feige,Producer,2000,25,Avengers: Secret Wars (2027) as Producer; Spider-Man: Brand New Day (2026) as Producer; Avengers: Doomsday (2026) as Producer; The Fantastic Four: First Steps (2025) as Producer; Thunderbolts* (2025) as Producer,1003598; 969681; 1003596; 617126; 986056
99861,Robert Downey Jr.,Actor,1970,55,"Avengers: Secret Wars (2027) as Actor; Avengers: Doomsday (2026) as Actor; The Tonight Show Starring Jimmy Fallon: 10th Anniversary Special (2024) as Actor; Arnold & Sly: Rivals, Friends, Icons (2024) as Actor; Robert Downey Jr.: High Altitude (2024) as Actor",1003598; 1003596; 1296327; 1275176; 1357747
99861,Chris Hemsworth,Actor,2009,16,Avengers: Doomsday (2026) as Actor; Crime 101 (2026) as Actor; Crime 101 (2026) as Producer; Transformers One (2024) as Actor; Highway to Valhalla: In Pursuit of Furiosa (2024) as Actor,1003596; 1171145; 1171145; 698687; 1327632
